d
ver=V2.1CXR
Recint=10
Mem 4000, 0, 237
Memi 4049, 3460, 3697
Start 4001, 374277077
Finish 4002, 374277548
MaxD 4003, 10.03
Status 4004, 0
OTU 4005, 41
Descend prob 4006, 0
Gas 4010, 79, 0, 660, 1
Gas 4011, 40, 50, 1100, 0
Gas 4012, 60, 25, 700, 0
Gas 4013, 1, 0, 60, 0
Gas 4014, 68, 0, 400, 0
Gas 4015, 64, 0, 344, 0
Gas 4016, 50, 0, 220, 0
Gas 4017, 20, 0, 100, 0
Gas 4018, 79, 0, 660, 0
Gas 4019, 79, 0, 660, 0
Tissue 4020, 79, 0
Tissue 4021, 79, 0
Tissue 4022, 78, 0
Tissue 4023, 78, 0
Tissue 4024, 78, 0
Tissue 4025, 78, 0
Tissue 4026, 78, 0
Tissue 4027, 78, 0
Tissue 4028, 78, 0
Tissue 4029, 78, 0
Tissue 4030, 78, 0
Tissue 4031, 78, 0
Tissue 4032, 78, 0
Tissue 4033, 78, 0
Tissue 4034, 78, 0
Tissue 4035, 78, 0
Profile
R0000,0010,0000,0038,M0000,T0035,A000088,B013333,C012335,D001229,E045333,F001339,G021333,H001449
R0001,0020,0000,0030,M0000,T0031,A000100,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0002,0031,0000,0031,M0000,T0031,A000003,B013456,C012345,D000669,E045283,F001909,G021783,H004409
R0003,0051,0000,0031,M0000,T0031,A000000,B013456,C012545,D000909,E045283,F001449,G021283,H001909
R0004,0056,0000,0031,M0001,T0031,A000010,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0005,0073,0000,0030,M0000,T0030,A000003,B013336,C012365,D000909,E045273,F001909,G021283,H001909
R0006,0085,0000,0029,M0003,T0030,A000220,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0007,0099,0000,0028,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0008,0110,0000,0028,M0000,T0029,A000003,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0009,0121,0000,0029,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0010,0128,0000,0028,M0000,T0033,A000000,B013226,C012345,D000909,E045283,F001909,G021283,H001909
R0011,0133,0000,0028,M0000,T0033,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0012,0143,0000,0027,M0000,T0032,A000003,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0013,0155,0000,0026,M0000,T0032,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0014,0166,0000,0026,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0015,0176,0000,0026,M0000,T0032,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0016,0188,0000,0026,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0017,0198,0000,0026,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0018,0199,0000,0025,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0019,0200,0000,0025,M0000,T0032,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0020,0196,0000,0025,M0000,T0033,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0021,0195,0000,0025,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0022,0194,0000,0025,M0000,T0032,A000002,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0023,0193,0000,0025,M0000,T0031,A000001,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0024,0192,0000,0024,M0000,T0032,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0025,0191,0000,0024,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0026,0185,0000,0024,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0028,0183,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0029,0178,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
