DO NOT DIVE USING THESE TABLES. BETA SOFTWARE TESTING ONLY
Sequential Dive Serial No : SM00000020  Atmospheric : 1000  Safety : 0

Sequence Of the Sequential Dive : SM00000020
No.,Plan No,Intv,
1,SP00000001,10,
2,SP00000001,10,
3,SP00000001,10,
4,SP00000001,10,
5,SP00000001,10,
6,SP00000001,10,

Gas Profile for SP00000001

Gas Index,O2,He,Depth,PPO2,Gas Used
Gas 0,21,0,217ft,1.60,0 - Not Used
Gas 1,99,0,20ft,1.58,4 - Deco Open Circuit
Gas 2,80,0,30ft,1.52,0 - Not Used
Gas 3,32,0,125ft,1.54,2 - Closed Circuit
Gas 4,38,0,108ft,1.63,4 - Deco Open Circuit
Gas 5,40,0,98ft,1.60,0 - Not Used
Gas 6,52,0,69ft,1.61,2 - Closed Circuit
Gas 7,19,35,262ft,1.71,0 - Not Used
Gas 8,14,44,328ft,1.54,1 - Open Circuit
Gas 9,11,60,394ft,1.43,0 - Not Used


Dive Plan: SP00000001
Interval to next dive: 10 hours
Max Depth: 98ft
Dive Plan: SP00000001
Interval to next dive: 10 hours
Max Depth: 98ftNo.,Dur,RunTime,Mix,Depth,CNS,OTU,Rate,
1,1.5,1.5,Tx14/44,98ft,0%,0,20,
2,58.5,60.0,Tx14/44,98ft,0%,7,,
3,1.5,61.5,Tx14/44,50ft,0%,7,-10,
4,1.2,62.7,Nx38,50ft,0%,8,-10,
5,0.3,63.0,Nx38,40ft,0%,9,-10,
6,3.0,66.0,Nx38,40ft,1%,11,-10,
7,0.3,66.3,Nx38,30ft,1%,11,-10,
8,5.4,71.7,Nx38,30ft,2%,13,-10,
9,0.3,72.0,Nx38,20ft,2%,13,-10,
10,9.7,81.7,Nx38,20ft,4%,15,-10,
11,0.3,82.0,Nx38,10ft,4%,15,-10,
12,13.8,95.8,Nx99,10ft,11%,37,-10,
13,0.3,96.1,Nx99,0ft,11%,38,-10,
Dive Plan: SP00000001
Interval to next dive: 10 hours
Max Depth: 98ft
Dive Plan: SP00000001
Interval to next dive: 10 hours
Max Depth: 98ftNo.,Dur,RunTime,Mix,Depth,CNS,OTU,Rate,
1,1.5,1.5,Tx14/44,98ft,0%,38,20,
2,58.5,60.0,Tx14/44,98ft,0%,45,,
3,1.2,61.2,Tx14/44,60ft,0%,45,-10,
4,0.3,61.5,Nx38,60ft,0%,45,-10,
5,0.3,61.8,Nx38,50ft,0%,45,-10,
6,2.3,64.1,Nx38,50ft,1%,48,-10,
7,0.3,64.4,Nx38,40ft,1%,48,-10,
8,4.7,69.1,Nx38,40ft,2%,51,-10,
9,0.3,69.4,Nx38,30ft,2%,51,-10,
10,9.2,78.6,Nx38,30ft,4%,55,-10,
11,0.3,78.9,Nx38,20ft,4%,55,-10,
12,19.7,98.6,Nx38,20ft,7%,60,-10,
13,0.3,98.9,Nx38,10ft,7%,60,-10,
14,29.4,128.3,Nx99,10ft,23%,106,-10,
15,0.3,128.6,Nx99,0ft,23%,107,-10,

No.,Dur,RunTime,Mix,Depth,CNS,OTU,Rate,
1,1.5,1.5,Tx14/44,98ft,0%,107,20,
2,58.5,60.0,Tx14/44,98ft,0%,114,,
3,1.2,61.2,Tx14/44,60ft,0%,114,-10,
4,0.0,61.2,Nx38,60ft,0%,114,-10,
5,0.3,61.5,Nx38,50ft,0%,114,-10,
6,1.6,63.1,Nx38,50ft,1%,116,-10,
7,0.3,63.4,Nx38,40ft,1%,116,-10,
8,3.6,67.0,Nx38,40ft,2%,118,-10,
9,0.3,67.3,Nx38,30ft,2%,118,-10,
10,7.8,75.1,Nx38,30ft,3%,122,-10,
11,0.3,75.4,Nx38,20ft,3%,122,-10,
12,21.0,96.4,Nx38,20ft,6%,127,-10,
13,0.3,96.7,Nx38,10ft,6%,127,-10,
14,39.6,136.3,Nx99,10ft,28%,189,-10,
15,0.3,136.6,Nx99,0ft,28%,190,-10,

No.,Dur,RunTime,Mix,Depth,CNS,OTU,Rate,
1,1.5,1.5,Tx14/44,98ft,0%,190,20,
2,58.5,60.0,Tx14/44,98ft,0%,197,,
3,1.2,61.2,Tx14/44,60ft,0%,197,-10,
4,0.1,61.3,Nx38,60ft,0%,197,-10,
5,0.3,61.6,Nx38,50ft,0%,197,-10,
6,1.5,63.1,Nx38,50ft,1%,199,-10,
7,0.3,63.4,Nx38,40ft,1%,199,-10,
8,3.1,66.5,Nx38,40ft,2%,201,-10,
9,0.3,66.8,Nx38,30ft,2%,201,-10,
10,6.6,73.4,Nx38,30ft,3%,204,-10,
11,0.3,73.7,Nx38,20ft,3%,204,-10,
12,18.4,92.1,Nx38,20ft,6%,208,-10,
13,0.3,92.4,Nx38,10ft,6%,208,-10,
14,47.2,139.6,Nx99,10ft,32%,283,-10,
15,0.3,139.9,Nx99,0ft,32%,283,-10,

No.,Dur,RunTime,Mix,Depth,CNS,OTU,Rate,
1,1.5,1.5,Tx14/44,98ft,0%,284,20,
2,58.5,60.0,Tx14/44,98ft,0%,291,,
3,1.2,61.2,Tx14/44,60ft,0%,291,-10,
4,0.1,61.3,Nx38,60ft,0%,291,-10,
5,0.3,61.6,Nx38,50ft,0%,291,-10,
6,1.4,63.0,Nx38,50ft,1%,292,-10,
7,0.3,63.3,Nx38,40ft,1%,292,-10,
8,2.9,66.2,Nx38,40ft,2%,294,-10,
9,0.3,66.5,Nx38,30ft,2%,295,-10,
10,5.9,72.4,Nx38,30ft,3%,297,-10,
11,0.3,72.7,Nx38,20ft,3%,297,-10,
12,15.1,87.8,Nx38,20ft,5%,301,-10,
13,0.3,88.1,Nx38,10ft,5%,301,-10,
14,52.2,140.3,Nx99,10ft,34%,383,-10,
15,0.3,140.6,Nx99,0ft,34%,384,-10,
Dive Plan: SP00000001
Interval to next dive: 10 hours
Max Depth: 98ft
Dive Plan: SP00000001
Interval to next dive: 10 hours
Max Depth: 98ftNo.,Dur,RunTime,Mix,Depth,CNS,OTU,Rate,
1,1.5,1.5,Tx14/44,98ft,0%,384,20,
2,58.5,60.0,Tx14/44,98ft,0%,391,,
3,1.2,61.2,Tx14/44,60ft,0%,391,-10,
4,0.1,61.3,Nx38,60ft,0%,391,-10,
5,0.3,61.6,Nx38,50ft,0%,391,-10,
6,1.5,63.1,Nx38,50ft,1%,393,-10,
7,0.3,63.4,Nx38,40ft,1%,393,-10,
8,2.8,66.2,Nx38,40ft,2%,395,-10,
9,0.3,66.5,Nx38,30ft,2%,395,-10,
10,5.4,71.9,Nx38,30ft,3%,397,-10,
11,0.3,72.2,Nx38,20ft,3%,397,-10,
12,13.2,85.4,Nx38,20ft,5%,400,-10,
13,0.3,85.7,Nx38,10ft,5%,400,-10,
14,56.7,142.4,Nx99,10ft,36%,490,-10,
15,0.3,142.7,Nx99,0ft,36%,490,-10,
