Sequential Dive Serial No : SM00000010

Sequence Of the Sequential Dive : SM00000010
No.,Plan No,Intv,
1,SP00000011,10,

Gas Profile for SP00000011

Gas Index,O2,He,Depth,PPO2,Gas Used
Gas 0,21,0,204ft,4.49,4 - Deco Open Circuit
Gas 1,99,0,19ft,2.87,4 - Deco Open Circuit
Gas 2,80,0,28ft,3.04,5 - Deco Closed Circuit
Gas 3,32,0,117ft,4.06,3 - Open & Closed
Gas 4,36,0,99ft,3.92,0 - Not Used
Gas 5,40,0,93ft,4.12,0 - Not Used
Gas 6,50,0,65ft,3.75,0 - Not Used
Gas 7,18,35,247ft,4.63,1 - Open Circuit
Gas 8,14,50,309ft,4.47,0 - Not Used
Gas 9,11,60,371ft,4.19,0 - Not Used

 Decompression Result for Dive 1 - SP00000011

No.,Dur,RT,Mix,Depth,SDep,Edep,Rate,
1,4.9,4.9,7,0ft,0ft,300ft,20,
2,5.1,10.0,7,300ft,0ft,300ft,,
No.,Dur,RT,Mix,Depth,Rate,,,
3,5.2,15.2,7,139ft,-10,,,
4,0.0,15.2,0,139ft,-10,,,
5,0.3,15.5,0,130ft,-10,,,
6,0.0,15.5,0,130ft,-10,,,
7,0.3,15.8,0,120ft,-10,,,
8,0.0,15.8,0,120ft,-10,,,
9,0.3,16.1,0,111ft,-10,,,
10,0.1,16.2,0,111ft,-10,,,
11,0.3,16.5,0,102ft,-10,,,
12,0.4,16.9,0,102ft,-10,,,
13,0.3,17.2,0,93ft,-10,,,
14,0.5,17.7,0,93ft,-10,,,
15,0.3,18.0,0,83ft,-10,,,
16,0.6,18.6,0,83ft,-10,,,
17,0.3,18.9,0,74ft,-10,,,
18,0.9,19.8,0,74ft,-10,,,
19,0.3,20.1,0,65ft,-10,,,
20,1.1,21.2,0,65ft,-10,,,
21,0.3,21.5,0,56ft,-10,,,
22,1.7,23.2,0,56ft,-10,,,
23,0.3,23.5,0,46ft,-10,,,
24,2.2,25.7,0,46ft,-10,,,
25,0.3,26.0,0,37ft,-10,,,
26,3.2,29.2,0,37ft,-10,,,
27,0.3,29.5,0,28ft,-10,,,
28,2.9,32.4,2,28ft,-10,,,
29,0.3,32.7,2,19ft,-10,,,
30,4.0,36.7,1,19ft,-10,,,
31,0.3,37.0,1,9ft,-10,,,
32,6.5,43.5,1,9ft,-10,,,
33,0.3,43.8,1,0ft,-10,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
