Sequential Dive Serial No : SM00000009

Sequence Of the Sequential Dive : SM00000009
No.,Plan No,Intv,
1,SP00000011,10,

Gas Profile for SP00000011

Gas Index,O2,He,Depth,PPO2,Gas Used
Gas 0,21,0,66m,1.60,4 - Deco Open Circuit
Gas 1,99,0,6m,1.58,4 - Deco Open Circuit
Gas 2,80,0,9m,1.52,5 - Deco Closed Circuit
Gas 3,32,0,38m,1.54,3 - Open & Closed
Gas 4,36,0,32m,1.51,0 - Not Used
Gas 5,40,0,30m,1.60,0 - Not Used
Gas 6,50,0,21m,1.55,0 - Not Used
Gas 7,18,35,80m,1.62,1 - Open Circuit
Gas 8,14,50,100m,1.54,0 - Not Used
Gas 9,11,60,120m,1.43,0 - Not Used

 Decompression Result for Dive 1 - SP00000011

No.,Dur,RT,Mix,Depth,SDep,Edep,Rate,
1,4.9,4.9,7,0m,0m,97m,20,
2,5.1,10.0,7,97m,0m,97m,,
No.,Dur,RT,Mix,Depth,Rate,,,
3,5.2,15.2,7,45m,-10,,,
4,0.0,15.2,0,45m,-10,,,
5,0.3,15.5,0,42m,-10,,,
6,0.0,15.5,0,42m,-10,,,
7,0.3,15.8,0,39m,-10,,,
8,0.0,15.8,0,39m,-10,,,
9,0.3,16.1,0,36m,-10,,,
10,0.1,16.2,0,36m,-10,,,
11,0.3,16.5,0,33m,-10,,,
12,0.4,16.9,0,33m,-10,,,
13,0.3,17.2,0,30m,-10,,,
14,0.5,17.7,0,30m,-10,,,
15,0.3,18.0,0,27m,-10,,,
16,0.6,18.6,0,27m,-10,,,
17,0.3,18.9,0,24m,-10,,,
18,0.9,19.8,0,24m,-10,,,
19,0.3,20.1,0,21m,-10,,,
20,1.1,21.2,0,21m,-10,,,
21,0.3,21.5,0,18m,-10,,,
22,1.7,23.2,0,18m,-10,,,
23,0.3,23.5,0,15m,-10,,,
24,2.2,25.7,0,15m,-10,,,
25,0.3,26.0,0,12m,-10,,,
26,3.2,29.2,0,12m,-10,,,
27,0.3,29.5,0,9m,-10,,,
28,2.9,32.4,2,9m,-10,,,
29,0.3,32.7,2,6m,-10,,,
30,4.0,36.7,1,6m,-10,,,
31,0.3,37.0,1,3m,-10,,,
32,6.5,43.5,1,3m,-10,,,
33,0.3,43.8,1,0m,-10,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
