DO NOT DIVE USING THESE TABLES. BETA SOFTWARE TESTING ONLY
Dive Plan No : SP00000022
  Atmospheric : 1000
  Safety : 0
Deco Algorithm: VGM Alg

Sequence Of the Dive Plan : 
   #   Depth   Mins   O2   He   Po2   O/C   Gas Index
   1   55.0   40   21   0   1.36   Open Circuit   Gas 0


Active	Gas #	O2	He	Depth	PPO2	CC	Deco	WC	SACBarUse
On	Gas 0	21	0	55	1.36	OC		10	2	54
Off	Gas 1	99	0	6	1.58	OC		10	2	
Off	Gas 2	80	0	9	1.52	OC		10	2	
Off	Gas 3	32	0	38	1.54	OC		10	2	
On	Gas 4	36	0	33	1.55	OC	Deco	10	2	37
Off	Gas 5	40	0	30	1.60	OC		10	2	
Off	Gas 6	50	0	21	1.55	OC		10	2	
Off	Gas 7	18	35	65	1.35	OC		10	2	
Off	Gas 8	15	45	80	1.35	OC		10	2	
Off	Gas 9	11	60	120	1.43	OC		10	2	


Depth		Duration	RunTime	Mix		SPO2		CNS		OTU		No.		Rate		
55m		2:48		2:48		  Air		 		2%		5 		1		Descent 	
55m		37:12		40:00		  Air		 		24%		69 		2		 ---- 		
33m		1:00		43:00		 Nx36		 		26%		73 		4		Ascent  	
30m		1:00		44:00		 Nx36		 		27%		75 		6		Ascent  	
27m		3:00		47:00		 Nx36		 		29%		80 		8		Ascent  	
24m		2:00		49:00		 Nx36		 		30%		82 		10		Ascent  	
21m		3:00		52:00		 Nx36		 		31%		86 		12		Ascent  	
18m		4:00		56:00		 Nx36		 		32%		90 		14		Ascent  	
15m		5:00		61:00		 Nx36		 		34%		94 		16		Ascent  	
12m		7:00		68:00		 Nx36		 		35%		98 		18		Ascent  	
9m		13:00		81:00		 Nx36		 		37%		103 		20		Ascent  	
6m		22:00		103:00		 Nx36		 		37%		106 		22		Ascent  	
3m		38:00		141:00		 Nx36		 		37%		106 		24		Ascent  	
0m		0:18		141:18		 Nx36		 		37%		106 		25		Ascent  	
